#BON_2014 for dates between: 2015-01-31  -  2015-02-10
 #This file contains dFlux vs. E(MeV/n) for the dates
 #provided in the input file
 #Index E[MeV/n] dFlux(Z=1-28)[particles/MeV/n/sr/s/m^2]
#Run No:    1
   1   0.1000000E+00 0.13786052E-03 0.56986941E-04 0.27973456E-06 0.91639492E-07 0.41170074E-06 0.14511909E-05 0.34010097E-06 0.14270112E-05 0.25737231E-07 0.22531751E-06 0.47941487E-07 0.32708274E-06 0.51204484E-07 0.23401817E-06 0.64988526E-08 0.37474614E-07 0.64482482E-08 0.15595710E-07 0.12068581E-07 0.30125054E-07 0.73094948E-08 0.26095016E-07 0.13474639E-07 0.27367092E-07 0.15929428E-07 0.18449104E-06 0.11142156E-08 0.86954239E-08
  12   0.1224865     0.17785511E-03 0.73000498E-04 0.35778714E-06 0.11722359E-06 0.52691723E-06 0.18589724E-05 0.43564327E-06 0.18279896E-05 0.32946950E-07 0.28859469E-06 0.61383332E-07 0.41894575E-06 0.65564478E-07 0.29978230E-06 0.83207947E-08 0.48002516E-07 0.82550535E-08 0.19953724E-07 0.15453807E-07 0.38589405E-07 0.93556309E-08 0.33395196E-07 0.17241200E-07 0.35025689E-07 0.20384237E-07 0.23616003E-06 0.14260254E-08 0.11133371E-07
  13   0.1247660     0.18195929E-03 0.74636329E-04 0.36575273E-06 0.11983462E-06 0.53868018E-06 0.19006280E-05 0.44540258E-06 0.18689506E-05 0.33683097E-07 0.29505807E-06 0.62756051E-07 0.42832932E-06 0.67030967E-07 0.30650043E-06 0.85068406E-08 0.49077904E-07 0.84395406E-08 0.20398554E-07 0.15799518E-07 0.39454044E-07 0.95645323E-08 0.34140466E-07 0.17625686E-07 0.35807577E-07 0.20839012E-07 0.24143586E-06 0.14578604E-08 0.11382344E-07
  14   0.1270879     0.18620701E-03 0.76328739E-04 0.37399323E-06 0.12253577E-06 0.55084928E-06 0.19437246E-05 0.45549933E-06 0.19113277E-05 0.34444678E-07 0.30174502E-06 0.64176206E-07 0.43803720E-06 0.68548168E-07 0.31345090E-06 0.86993142E-08 0.50190494E-07 0.86304031E-08 0.20858739E-07 0.16157180E-07 0.40348574E-07 0.97806492E-08 0.34911469E-07 0.18023448E-07 0.36616488E-07 0.21309488E-07 0.24689390E-06 0.14907949E-08 0.11639918E-07
  15   0.1294530     0.19051867E-03 0.78044985E-04 0.38234811E-06 0.12527445E-06 0.56318845E-06 0.19874287E-05 0.46573837E-06 0.19543024E-05 0.35216914E-07 0.30852607E-06 0.65616284E-07 0.44788194E-06 0.70086649E-07 0.32049934E-06 0.88944851E-08 0.51318757E-07 0.88239345E-08 0.21325326E-07 0.16519857E-07 0.41255717E-07 0.99997886E-08 0.35693237E-07 0.18426748E-07 0.37436696E-07 0.21786525E-07 0.25242844E-06 0.15241897E-08 0.11901110E-07
  16   0.1318621     0.19497752E-03 0.79819096E-04 0.39098393E-06 0.12810517E-06 0.57594281E-06 0.20326054E-05 0.47632233E-06 0.19987249E-05 0.36015148E-07 0.31553563E-06 0.67104871E-07 0.45805845E-06 0.71676943E-07 0.32778533E-06 0.90962287E-08 0.52485017E-07 0.90239842E-08 0.21807608E-07 0.16894745E-07 0.42193420E-07 0.10226299E-07 0.36501319E-07 0.18843615E-07 0.38284515E-07 0.22279613E-07 0.25814924E-06 0.15587088E-08 0.12171100E-07
  17   0.1343161     0.19950322E-03 0.81618084E-04 0.39973909E-06 0.13097504E-06 0.58887451E-06 0.20784159E-05 0.48705459E-06 0.20437706E-05 0.36824506E-07 0.32264336E-06 0.68614227E-07 0.46837752E-06 0.73289449E-07 0.33517350E-06 0.93007833E-08 0.53667627E-07 0.92268175E-08 0.22296572E-07 0.17274873E-07 0.43144279E-07 0.10455963E-07 0.37320614E-07 0.19266267E-07 0.39144112E-07 0.22779554E-07 0.26394974E-06 0.15937077E-08 0.12444860E-07
  18   0.1368158     0.20417968E-03 0.83476218E-04 0.40878132E-06 0.13393897E-06 0.60223078E-06 0.21257324E-05 0.49813963E-06 0.20902969E-05 0.37660428E-07 0.32998463E-06 0.70173165E-07 0.47903575E-06 0.74954926E-07 0.34280464E-06 0.95120525E-08 0.54889110E-07 0.94363086E-08 0.22801570E-07 0.17667482E-07 0.44126391E-07 0.10693160E-07 0.38166792E-07 0.19702780E-07 0.40031932E-07 0.23295890E-07 0.26994073E-06 0.16298557E-08 0.12727609E-07
  19   0.1393619     0.20892597E-03 0.85360276E-04 0.41794789E-06 0.13694368E-06 0.61577180E-06 0.21737089E-05 0.50937922E-06 0.21374728E-05 0.38507935E-07 0.33742836E-06 0.71753774E-07 0.48984271E-06 0.76643552E-07 0.35054228E-06 0.97262545E-08 0.56127629E-07 0.96487049E-08 0.23313532E-07 0.18065546E-07 0.45122214E-07 0.10933641E-07 0.39024680E-07 0.20145318E-07 0.40932022E-07 0.23819359E-07 0.27601476E-06 0.16665038E-08 0.13014289E-07
  20   0.1419555     0.21374317E-03 0.87270673E-04 0.42724071E-06 0.13998981E-06 0.62950033E-06 0.22223562E-05 0.52077570E-06 0.21853082E-05 0.39367212E-07 0.34497592E-06 0.73356347E-07 0.50080058E-06 0.78355676E-07 0.35838806E-06 0.99434319E-08 0.57383431E-07 0.98640465E-08 0.23832563E-07 0.18469146E-07 0.46131934E-07 0.11177455E-07 0.39894442E-07 0.20593973E-07 0.41844594E-07 0.24350081E-07 0.28217312E-06 0.17036601E-08 0.13304961E-07
  21   0.1445973     0.21871646E-03 0.89242079E-04 0.43682942E-06 0.14313292E-06 0.64366634E-06 0.22725569E-05 0.53253598E-06 0.22346703E-05 0.40253880E-07 0.35276446E-06 0.75010071E-07 0.51210822E-06 0.80122433E-07 0.36648441E-06 0.10167536E-07 0.58679326E-07 0.10086254E-07 0.24368122E-07 0.18885626E-07 0.47173899E-07 0.11429040E-07 0.40791914E-07 0.21056923E-07 0.42786255E-07 0.24897711E-07 0.28852796E-06 0.17420012E-08 0.13604907E-07
  22   0.1472883     0.22376369E-03 0.91240909E-04 0.44654954E-06 0.14631908E-06 0.65802794E-06 0.23234563E-05 0.54445985E-06 0.22847200E-05 0.41152799E-07 0.36066112E-06 0.76686689E-07 0.52357302E-06 0.81913669E-07 0.37469351E-06 0.10394738E-07 0.59993241E-07 0.10311534E-07 0.24911040E-07 0.19307867E-07 0.48230365E-07 0.11684095E-07 0.41701757E-07 0.21526246E-07 0.43740904E-07 0.25452875E-07 0.29497056E-06 0.17808713E-08 0.13909007E-07
  23   0.1500293     0.22897086E-03 0.93302137E-04 0.45657202E-06 0.14960435E-06 0.67283673E-06 0.23759440E-05 0.55675571E-06 0.23363318E-05 0.42079716E-07 0.36880425E-06 0.78415553E-07 0.53539566E-06 0.83760732E-07 0.38315875E-06 0.10629019E-07 0.61348153E-07 0.10543832E-07 0.25470861E-07 0.19743272E-07 0.49319798E-07 0.11947093E-07 0.42639925E-07 0.22010171E-07 0.44725287E-07 0.26025333E-07 0.30161397E-06 0.18209522E-08 0.14222588E-07
  24   0.1528214     0.23425522E-03 0.95391915E-04 0.46673142E-06 0.15293453E-06 0.68784891E-06 0.24291587E-05 0.56922181E-06 0.23886580E-05 0.43019398E-07 0.37706008E-06 0.80168299E-07 0.54738194E-06 0.85633275E-07 0.39174139E-06 0.10866529E-07 0.62721817E-07 0.10779326E-07 0.26038338E-07 0.20184688E-07 0.50424315E-07 0.12213705E-07 0.43590976E-07 0.22500734E-07 0.45723194E-07 0.26605647E-07 0.30834883E-06 0.18615841E-08 0.14540501E-07
