5.3367  0.011916  0.0057041  1.2555e-05  6.8638e-06  2.5885e-05  9.2018e-05  2.2966e-05  8.8346e-05  1.5463e-06  1.3024e-05  2.6773e-06  1.7566e-05  2.7555e-06  1.2512e-05  4.1945e-07  2.1376e-06  3.9902e-07  9.5703e-07  7.0391e-07  1.8234e-06  4.1731e-07  1.5222e-06  7.4539e-07  1.419e-06  9.0811e-07  9.3269e-06  6.3628e-08  4.4006e-07
6.1359  0.013818  0.0066125  1.4538e-05  7.9465e-06  2.9996e-05  0.00010665  2.6617e-05  0.0001024  1.791e-06  1.5095e-05  3.1031e-06  2.036e-05  3.1926e-06  1.4502e-05  4.8566e-07  2.4762e-06  4.6184e-07  1.108e-06  8.1489e-07  2.1119e-06  4.8319e-07  1.7633e-06  8.6356e-07  1.6439e-06  1.0525e-06  1.081e-05  7.3742e-08  5.1e-07
7.0548  0.016027  0.0076679  1.6837e-05  9.2016e-06  3.477e-05  0.00012365  3.0856e-05  0.00011871  2.0749e-06  1.7501e-05  3.5975e-06  2.3605e-05  3.6999e-06  1.6813e-05  5.6243e-07  2.8691e-06  5.3463e-07  1.2831e-06  9.4352e-07  2.4464e-06  5.5957e-07  2.0431e-06  1.0007e-06  1.905e-06  1.2201e-06  1.2531e-05  8.5487e-08  5.9121e-07
8.1113  0.018592  0.0088947  1.9505e-05  1.0657e-05  4.0315e-05  0.00014341  3.578e-05  0.00013767  2.4044e-06  2.0296e-05  4.172e-06  2.7375e-05  4.2891e-06  1.9499e-05  6.5148e-07  3.3252e-06  6.1901e-07  1.4861e-06  1.0927e-06  2.8347e-06  6.4817e-07  2.368e-06  1.16e-06  2.2081e-06  1.415e-06  1.4532e-05  9.9134e-08  6.8556e-07
9.326  0.021574  0.010322  2.2601e-05  1.2346e-05  4.6759e-05  0.00016638  4.1506e-05  0.00015972  2.7871e-06  2.3546e-05  4.84e-06  3.176e-05  4.9737e-06  2.2621e-05  7.5481e-07  3.855e-06  7.1684e-07  1.7217e-06  1.2657e-06  3.2855e-06  7.5099e-07  2.7454e-06  1.345e-06  2.5602e-06  1.6414e-06  1.6858e-05  1.15e-07  7.9525e-07
10.723  0.025044  0.011982  2.6195e-05  1.4306e-05  5.4253e-05  0.0001931  4.8164e-05  0.00018536  3.2315e-06  2.7327e-05  5.6169e-06  3.686e-05  5.7695e-06  2.6254e-05  8.7476e-07  4.4706e-06  8.3033e-07  1.9952e-06  1.4664e-06  3.8092e-06  8.7034e-07  3.1838e-06  1.56e-06  2.9694e-06  1.9049e-06  1.9563e-05  1.3345e-07  9.2282e-07
12.328  0.029084  0.013915  3.0368e-05  1.6581e-05  6.2969e-05  0.00022419  5.5912e-05  0.0002152  3.7481e-06  3.1728e-05  6.5209e-06  4.2795e-05  6.6949e-06  3.0482e-05  1.014e-06  5.1861e-06  9.6202e-07  2.3126e-06  1.6995e-06  4.4177e-06  1.0089e-06  3.6935e-06  1.8099e-06  3.4451e-06  2.2113e-06  2.271e-05  1.5491e-07  1.0712e-06
14.175  0.033793  0.016167  3.5215e-05  1.9222e-05  7.3107e-05  0.00026039  6.493e-05  0.00024994  4.3484e-06  3.685e-05  7.573e-06  4.9703e-05  7.7711e-06  3.5403e-05  1.1758e-06  6.0181e-06  1.1149e-06  2.6812e-06  1.9701e-06  5.1249e-06  1.1699e-06  4.2859e-06  2.1004e-06  3.9982e-06  2.5678e-06  2.6372e-05  1.7989e-07  1.2439e-06
16.298  0.039286  0.018788  4.0841e-05  2.2288e-05  8.4897e-05  0.00030253  7.5424e-05  0.00029037  5.046e-06  4.2811e-05  8.7973e-06  5.7744e-05  9.0227e-06  4.1131e-05  1.3637e-06  6.9855e-06  1.2922e-06  3.1091e-06  2.2842e-06  5.9469e-06  1.3568e-06  4.9744e-06  2.4381e-06  4.6411e-06  2.9825e-06  3.0632e-05  2.0893e-07  1.4448e-06
18.738  0.045699  0.02184  4.7369e-05  2.5845e-05  9.8602e-05  0.00035157  8.7633e-05  0.00033742  5.8564e-06  4.9747e-05  1.0221e-05  6.71e-05  1.0478e-05  4.7797e-05  1.5819e-06  8.11e-06  1.498e-06  3.6056e-06  2.6489e-06  6.9021e-06  1.5738e-06  5.7741e-06  2.8303e-06  5.388e-06  3.4645e-06  3.5584e-05  2.4269e-07  1.6784e-06
